track_id,num_observations,baseline_frame,confidence_only_frame,confidence_only_conf,bestshot_frame,bestshot_total,bestshot_conf,bestshot_sharpness,bestshot_size,bestshot_occlusion,bestshot_position
1,243,6,67,0.944,206,4.069,0.855,0.968,1.0,0.946,0.3
2,14,11,0,0.88,12,3.676,0.838,0.665,1.0,0.873,0.3
3,112,38,5,0.919,66,4.407,0.882,0.525,1.0,1.0,1.0
4,26,7,16,0.91,20,4.469,0.895,0.574,1.0,1.0,1.0
19,22,27,27,0.92,26,3.706,0.91,0.497,1.0,1.0,0.3
20,19,24,24,0.58,30,3.244,0.531,0.532,0.181,1.0,1.0
21,110,155,170,0.881,170,3.573,0.881,0.421,1.0,0.971,0.3
24,16,29,55,0.52,55,3.492,0.52,0.882,0.119,0.972,1.0
26,10,36,33,0.493,27,3.508,0.435,0.864,0.208,1.0,1.0
28,113,43,46,0.897,85,4.764,0.841,0.923,1.0,1.0,1.0
36,38,88,66,0.946,61,3.883,0.895,0.182,1.0,0.806,1.0
49,89,158,186,0.917,159,3.943,0.903,0.878,1.0,0.862,0.3
52,8,106,128,0.525,131,3.64,0.5,1.0,0.14,1.0,1.0
55,18,111,111,0.612,111,3.555,0.612,0.853,0.09,1.0,1.0
56,8,113,113,0.515,128,3.654,0.453,1.0,0.201,1.0,1.0
57,111,143,130,0.911,213,4.517,0.882,0.735,1.0,0.901,1.0
61,50,150,230,0.514,230,3.614,0.514,1.0,0.1,1.0,1.0
63,24,151,147,0.542,148,3.635,0.542,1.0,0.093,1.0,1.0
65,14,153,155,0.539,155,3.672,0.539,1.0,0.134,1.0,1.0
71,32,165,175,0.65,220,3.813,0.644,1.0,0.169,1.0,1.0
72,36,233,209,0.625,178,3.766,0.6,1.0,0.166,1.0,1.0
83,9,181,179,0.59,179,3.175,0.59,0.929,0.527,0.83,0.3
91,18,241,239,0.555,239,3.654,0.555,1.0,0.1,1.0,1.0
94,19,249,214,0.72,213,3.795,0.682,1.0,0.112,1.0,1.0
96,14,222,229,0.552,229,3.648,0.552,1.0,0.096,1.0,1.0
100,54,274,292,0.91,288,4.462,0.854,0.608,1.0,1.0,1.0
101,15,255,254,0.819,253,3.655,0.81,0.701,0.144,1.0,1.0
103,53,264,296,0.829,286,3.998,0.781,0.927,0.291,1.0,1.0
104,18,249,255,0.734,253,3.852,0.708,0.997,0.147,1.0,1.0
107,17,264,267,0.615,265,3.712,0.599,0.989,0.124,1.0,1.0
115,31,291,290,0.86,296,3.456,0.809,0.347,1.0,1.0,0.3
116,30,282,282,0.64,282,3.075,0.64,1.0,0.134,1.0,0.3
