elapsed_sec,frame_idx,rss_mb,rss_growth_mb,fps_rolling,p95_ms_rolling,n_tracks_total,buffered_observations,exception_count
14.2,200,939.8,371.9,25.1,45.26,5,797,0
27.5,400,1079.8,511.9,24.0,46.68,7,1616,0
41.2,600,1215.9,648.0,23.81,46.53,8,2406,0
54.9,800,1354.0,786.1,24.4,45.63,9,3219,0
69.2,1000,1491.5,923.6,23.58,46.02,10,4024,0
83.8,1200,1634.4,1066.5,23.86,46.42,11,4834,0
98.7,1400,1772.0,1204.1,23.25,48.22,12,5637,0
113.6,1600,1911.4,1343.5,23.47,47.43,14,6439,0
129.6,1800,2050.1,1482.2,22.61,48.76,15,7235,0
145.2,2000,2191.8,1623.9,22.94,48.29,16,8051,0
161.4,2200,2335.4,1767.5,22.6,47.79,17,8854,0
178.9,2400,2475.9,1908.0,21.92,49.7,18,9661,0
196.8,2600,2612.7,2044.8,22.15,49.06,20,10470,0
214.5,2800,2750.8,2182.9,21.57,53.66,21,11266,0
233.0,3000,2892.2,2324.3,21.67,50.57,22,12069,0
251.6,3200,3033.9,2466.0,22.01,49.54,23,12876,0
270.8,3400,3169.1,2601.2,21.71,51.33,24,13671,0
289.8,3600,3307.8,2739.8,21.58,50.84,25,14474,0
309.4,3800,3446.8,2878.9,21.81,51.34,27,15290,0
329.3,4000,3584.6,3016.7,21.63,53.12,28,16086,0
349.0,4200,3725.4,3157.5,22.0,49.22,29,16887,0
