elapsed_sec,frame_idx,rss_mb,rss_growth_mb,fps_rolling,p95_ms_rolling,n_tracks_total,buffered_observations,exception_count
14.2,200,820.5,252.8,25.07,48.57,5,4,0
27.7,400,819.3,251.6,24.77,44.59,7,5,0
40.6,600,818.7,251.0,26.03,43.51,8,4,0
53.8,800,819.2,251.5,25.71,43.26,9,4,0
67.6,1000,820.1,252.4,25.26,43.69,10,4,0
82.5,1200,819.6,251.9,24.37,48.39,11,4,0
97.5,1400,820.2,252.5,24.48,44.87,12,4,0
112.5,1600,821.5,253.7,25.07,43.41,14,4,0
128.3,1800,819.2,251.4,24.16,46.88,15,4,0
144.1,2000,819.2,251.5,24.9,45.32,16,4,0
160.4,2200,819.4,251.6,23.94,45.37,17,4,0
177.1,2400,819.4,251.7,24.14,46.94,18,4,0
193.6,2600,823.0,255.3,24.72,45.26,20,5,0
210.0,2800,819.6,251.9,24.52,44.66,21,4,0
226.7,3000,819.7,251.9,24.76,44.92,22,4,0
244.0,3200,819.8,252.0,24.68,45.15,23,4,0
261.7,3400,823.4,255.6,24.12,45.21,24,4,0
279.8,3600,819.9,252.2,24.36,44.85,25,4,0
298.5,3800,819.0,251.3,24.44,45.05,27,5,0
317.6,4000,820.1,252.4,23.95,47.03,28,4,0
336.3,4200,823.7,256.0,24.38,45.3,29,4,0
355.5,4400,823.8,256.0,24.32,45.52,30,4,0
375.3,4600,823.9,256.1,24.21,45.79,31,4,0
395.8,4800,824.0,256.2,23.7,46.83,33,5,0
416.0,5000,824.0,256.3,23.96,47.6,34,4,0
436.9,5200,824.1,256.4,24.0,45.01,35,4,0
457.8,5400,824.2,256.5,24.03,44.75,36,4,0
479.2,5600,824.3,256.6,24.13,44.96,37,4,0
500.8,5800,824.4,256.7,24.23,44.97,38,4,0
522.7,6000,824.5,256.8,24.19,45.62,40,5,0
545.3,6200,824.6,256.8,23.58,50.05,41,4,0
568.1,6400,824.7,256.9,23.94,45.25,42,4,0
592.0,6600,823.7,256.0,23.58,47.76,43,4,0
616.5,6800,823.8,256.1,23.49,48.78,44,4,0
640.5,7000,823.9,256.2,23.88,45.96,46,5,0
665.0,7200,824.0,256.3,24.12,45.66,47,5,0
690.3,7400,824.1,256.3,23.96,45.8,48,4,0
715.6,7600,826.5,258.8,23.62,46.9,49,4,0
741.4,7800,825.3,257.5,22.94,53.72,50,4,0
767.2,8000,828.9,261.1,24.13,46.47,51,4,0
792.9,8200,825.4,257.7,24.47,44.78,53,5,0
818.6,8400,825.5,257.8,24.18,45.52,54,4,0
844.8,8600,825.6,257.9,23.84,49.54,55,4,0
870.4,8800,827.0,259.3,23.84,46.83,56,4,0
897.0,9000,828.3,260.6,23.87,47.21,57,4,0
924.4,9200,828.4,260.6,24.09,46.52,59,5,0
953.5,9400,828.5,260.7,23.69,47.29,60,5,0
983.2,9600,828.5,260.8,23.7,45.46,61,4,0
1012.9,9800,825.1,257.4,23.91,44.81,62,4,0
1042.5,10000,828.7,261.0,24.39,47.2,63,4,0
1072.9,10200,825.3,257.6,23.89,48.23,64,4,0
1103.0,10400,828.9,261.2,24.21,47.93,66,5,0
1134.4,10600,825.5,257.7,23.64,48.27,67,4,0
1166.0,10800,825.5,257.8,23.83,45.71,68,4,0
1198.6,11000,827.6,259.8,23.61,46.4,69,4,0
1231.5,11200,828.3,260.5,23.27,48.97,70,4,0
1265.2,11400,824.8,257.1,23.34,47.43,71,4,0
1299.2,11600,828.4,260.7,23.47,47.56,73,5,0
1333.1,11800,825.0,257.3,23.07,50.63,74,4,0
1367.7,12000,828.6,260.9,23.12,47.96,75,4,0
1403.1,12200,826.2,258.4,23.14,48.23,76,4,0
1438.2,12400,829.8,262.1,23.61,45.94,77,4,0
1474.1,12600,826.3,258.6,23.13,48.59,78,4,0
1509.9,12800,826.4,258.6,23.4,49.92,80,5,0
1546.0,13000,829.9,262.2,23.77,45.76,81,4,0
1580.7,13200,826.5,258.7,24.17,45.63,82,4,0
1617.1,13400,826.5,258.8,23.51,55.96,83,4,0
1653.9,13600,826.6,258.8,23.46,50.21,84,4,0
1691.4,13800,826.6,258.9,23.71,47.52,86,5,0
1730.0,14000,826.7,258.9,23.32,49.09,87,5,0
1768.8,14200,825.7,258.0,23.77,46.39,89,4,0
1808.1,14400,829.3,261.5,22.98,48.54,90,4,0
1847.9,14600,829.3,261.6,23.19,49.39,91,4,0
1888.2,14800,825.8,258.1,23.4,46.45,92,4,0
