sweep,x_off,y_off,gt_min_gap_px,gt_is_clipped,bucket,det_bbox,legacy_score,new_score
horizontal,-136,288,-136,True,clipped,"[0.2, 418.4, 54.8, 786.8]",0.3,0.6
horizontal,-128,288,-128,True,clipped,"[0.2, 377.9, 60.0, 768.8]",0.3,0.6
horizontal,-120,288,-120,True,clipped,"[0.2, 375.6, 71.9, 787.3]",0.3,0.6
horizontal,-112,288,-112,True,clipped,"[0.2, 362.0, 79.6, 787.8]",0.3,0.6
horizontal,-104,288,-104,True,clipped,"[0.1, 349.6, 86.3, 789.3]",0.3,0.6
horizontal,-96,288,-96,True,clipped,"[0.1, 287.1, 95.3, 787.9]",0.3,0.6
horizontal,-88,288,-88,True,clipped,"[0.2, 284.1, 97.6, 767.9]",0.3,0.6
horizontal,-80,288,-80,True,clipped,"[0.0, 288.5, 107.4, 786.9]",0.3,0.6
horizontal,-72,288,-72,True,clipped,"[0.1, 285.0, 117.5, 784.6]",0.3,0.6
horizontal,-64,288,-64,True,clipped,"[0.1, 285.8, 120.7, 775.4]",0.3,0.6
horizontal,-56,288,-56,True,clipped,"[0.1, 286.1, 134.1, 787.1]",0.3,0.6
horizontal,-48,288,-48,True,clipped,"[0.2, 288.4, 141.3, 789.7]",0.3,0.6
horizontal,-40,288,-40,True,clipped,"[0.4, 289.0, 149.1, 783.4]",0.3,0.6
horizontal,-32,288,-32,True,clipped,"[0.3, 289.6, 155.5, 787.9]",0.3,0.6
horizontal,-24,288,-24,True,clipped,"[0.1, 289.1, 165.0, 788.4]",0.3,0.6
horizontal,-16,288,-16,True,clipped,"[0.1, 288.8, 170.5, 788.3]",0.3,0.6
horizontal,-8,288,-8,True,clipped,"[0.5, 289.5, 178.2, 784.2]",0.3,0.6
horizontal,0,288,0,False,near_edge_not_clipped,"[1.3, 288.5, 190.6, 786.4]",0.3,0.6
horizontal,8,288,8,False,near_edge_not_clipped,"[6.8, 288.7, 195.5, 789.6]",0.3,1.0
horizontal,16,288,16,False,near_edge_not_clipped,"[15.8, 288.2, 202.3, 789.3]",0.3,1.0
horizontal,24,288,24,False,far_from_edge,"[24.5, 288.5, 202.0, 789.1]",1.0,1.0
horizontal,32,288,32,False,far_from_edge,"[32.6, 287.8, 217.9, 789.4]",1.0,1.0
horizontal,40,288,40,False,far_from_edge,"[42.6, 288.1, 220.7, 788.2]",1.0,1.0
horizontal,48,288,48,False,far_from_edge,"[50.6, 288.4, 234.4, 788.9]",1.0,1.0
horizontal,56,288,56,False,far_from_edge,"[55.6, 288.7, 243.7, 790.1]",1.0,1.0
horizontal,64,288,64,False,far_from_edge,"[63.8, 288.0, 254.2, 791.0]",1.0,1.0
horizontal,72,288,72,False,far_from_edge,"[75.7, 287.6, 257.9, 787.7]",1.0,1.0
horizontal,80,288,80,False,far_from_edge,"[81.8, 288.1, 269.7, 788.4]",1.0,1.0
horizontal,88,288,88,False,far_from_edge,"[93.4, 288.4, 269.4, 787.4]",1.0,1.0
horizontal,96,288,96,False,far_from_edge,"[97.9, 288.9, 282.8, 788.9]",1.0,1.0
horizontal,104,288,104,False,far_from_edge,"[107.6, 288.1, 287.4, 788.7]",1.0,1.0
horizontal,112,288,112,False,far_from_edge,"[113.0, 287.3, 299.1, 789.1]",1.0,1.0
horizontal,120,288,120,False,far_from_edge,"[119.4, 287.4, 309.0, 787.7]",1.0,1.0
horizontal,128,288,128,False,far_from_edge,"[131.6, 286.5, 316.7, 783.5]",1.0,1.0
horizontal,136,288,136,False,far_from_edge,"[136.8, 288.9, 326.5, 786.4]",1.0,1.0
horizontal,144,288,144,False,far_from_edge,"[147.9, 288.8, 326.6, 787.5]",1.0,1.0
horizontal,152,288,152,False,far_from_edge,"[153.7, 288.3, 340.3, 789.2]",1.0,1.0
horizontal,160,288,160,False,far_from_edge,"[157.9, 288.1, 348.2, 791.1]",1.0,1.0
horizontal,168,288,168,False,far_from_edge,"[167.7, 288.7, 355.5, 790.0]",1.0,1.0
horizontal,176,288,176,False,far_from_edge,"[175.3, 287.7, 367.2, 788.0]",1.0,1.0
horizontal,184,288,184,False,far_from_edge,"[185.3, 288.9, 373.4, 787.3]",1.0,1.0
horizontal,192,288,192,False,far_from_edge,"[195.8, 289.7, 380.6, 787.5]",1.0,1.0
horizontal,200,288,200,False,far_from_edge,"[203.0, 289.5, 384.9, 787.7]",1.0,1.0
horizontal,208,288,208,False,far_from_edge,"[210.8, 288.2, 397.1, 789.1]",1.0,1.0
horizontal,216,288,216,False,far_from_edge,"[215.7, 287.4, 406.3, 787.5]",1.0,1.0
horizontal,224,288,224,False,far_from_edge,"[224.8, 287.5, 408.6, 786.8]",1.0,1.0
horizontal,232,288,232,False,far_from_edge,"[235.8, 287.6, 416.6, 785.1]",1.0,1.0
horizontal,240,288,240,False,far_from_edge,"[241.4, 288.3, 425.3, 787.4]",1.0,1.0
horizontal,248,288,248,False,far_from_edge,"[251.5, 288.0, 435.8, 788.4]",1.0,1.0
horizontal,256,288,256,False,far_from_edge,"[257.5, 288.8, 444.3, 788.6]",1.0,1.0
horizontal,264,288,264,False,far_from_edge,"[267.5, 286.8, 453.3, 789.9]",1.0,1.0
horizontal,272,288,272,False,far_from_edge,"[272.4, 286.4, 460.0, 790.2]",1.0,1.0
horizontal,280,288,280,False,far_from_edge,"[280.1, 286.7, 468.7, 791.1]",1.0,1.0
horizontal,288,288,288,False,far_from_edge,"[289.6, 285.7, 471.1, 784.5]",1.0,1.0
horizontal,296,288,288,False,far_from_edge,"[297.6, 287.5, 479.4, 786.4]",1.0,1.0
horizontal,304,288,288,False,far_from_edge,"[309.4, 289.1, 483.2, 787.0]",1.0,1.0
horizontal,312,288,288,False,far_from_edge,"[314.0, 289.2, 500.5, 787.9]",1.0,1.0
horizontal,320,288,288,False,far_from_edge,"[322.6, 289.1, 507.7, 790.3]",1.0,1.0
horizontal,328,288,288,False,far_from_edge,"[328.4, 288.1, 514.9, 790.0]",1.0,1.0
horizontal,336,288,282,False,far_from_edge,"[334.1, 288.0, 524.9, 789.5]",1.0,1.0
horizontal,344,288,274,False,far_from_edge,"[346.1, 288.2, 533.2, 785.0]",1.0,1.0
horizontal,352,288,266,False,far_from_edge,"[352.6, 289.0, 540.6, 786.8]",1.0,1.0
horizontal,360,288,258,False,far_from_edge,"[363.2, 289.0, 542.4, 788.9]",1.0,1.0
horizontal,368,288,250,False,far_from_edge,"[369.3, 288.6, 554.2, 790.4]",1.0,1.0
horizontal,376,288,242,False,far_from_edge,"[376.4, 286.7, 564.5, 789.8]",1.0,1.0
horizontal,384,288,234,False,far_from_edge,"[383.3, 286.2, 568.6, 790.4]",1.0,1.0
horizontal,392,288,226,False,far_from_edge,"[394.5, 286.6, 581.4, 787.8]",1.0,1.0
horizontal,400,288,218,False,far_from_edge,"[403.8, 287.7, 591.2, 788.8]",1.0,1.0
horizontal,408,288,210,False,far_from_edge,"[409.7, 288.8, 598.7, 789.2]",1.0,1.0
horizontal,416,288,202,False,far_from_edge,"[419.4, 288.7, 606.9, 790.5]",1.0,1.0
horizontal,424,288,194,False,far_from_edge,"[426.5, 286.8, 615.5, 791.3]",1.0,1.0
horizontal,432,288,186,False,far_from_edge,"[433.2, 287.9, 622.9, 791.9]",1.0,1.0
horizontal,440,288,178,False,far_from_edge,"[441.2, 288.9, 631.0, 792.6]",1.0,1.0
horizontal,448,288,170,False,far_from_edge,"[448.9, 288.5, 638.6, 791.3]",1.0,1.0
horizontal,456,288,162,False,far_from_edge,"[456.7, 286.7, 644.7, 791.0]",1.0,1.0
horizontal,464,288,154,False,far_from_edge,"[468.4, 288.1, 652.6, 789.7]",1.0,1.0
horizontal,472,288,146,False,far_from_edge,"[475.0, 287.5, 660.5, 788.7]",1.0,1.0
horizontal,480,288,138,False,far_from_edge,"[483.5, 287.9, 668.7, 790.6]",1.0,1.0
horizontal,488,288,130,False,far_from_edge,"[486.6, 287.1, 675.9, 790.1]",1.0,1.0
horizontal,496,288,122,False,far_from_edge,"[491.2, 288.2, 686.5, 791.2]",1.0,1.0
horizontal,504,288,114,False,far_from_edge,"[502.4, 287.7, 691.9, 790.1]",1.0,1.0
horizontal,512,288,106,False,far_from_edge,"[502.5, 286.8, 700.6, 788.5]",1.0,1.0
horizontal,520,288,98,False,far_from_edge,"[524.4, 288.6, 699.6, 787.3]",1.0,1.0
horizontal,528,288,90,False,far_from_edge,"[530.4, 289.3, 718.2, 789.9]",1.0,1.0
horizontal,536,288,82,False,far_from_edge,"[537.4, 287.2, 710.2, 789.9]",1.0,1.0
horizontal,544,288,74,False,far_from_edge,"[543.5, 287.1, 727.5, 790.5]",1.0,1.0
horizontal,552,288,66,False,far_from_edge,"[553.1, 287.0, 740.4, 790.1]",1.0,1.0
horizontal,560,288,58,False,far_from_edge,"[564.0, 287.8, 752.9, 786.7]",1.0,1.0
horizontal,568,288,50,False,far_from_edge,"[568.3, 289.4, 758.2, 789.3]",1.0,1.0
